time,latitude,longitude,depth,mag,magType
2015-05-05T10:38:47.120Z,27.7226,85.9867,10,4.1,mb
2015-05-04T14:19:03.470Z,27.8147,85.9036,10,4.2,mb
2015-05-04T12:17:13.450Z,27.7864,86.0097,10,4.1,mb
2015-05-04T08:50:00.820Z,27.926,86.1704,10,4,mb
2015-05-04T01:15:07.070Z,27.6326,85.9746,10,4.5,mb
2015-05-03T23:14:15.460Z,27.7349,85.8791,10,4.2,mb
2015-05-03T11:35:11.090Z,27.6999,84.9331,10,4.3,mb
2015-05-03T02:15:26.910Z,27.7665,84.6005,10,4,mb
2015-05-02T21:44:09.970Z,27.6395,85.9324,10,4.3,mb
2015-05-02T15:16:18.050Z,27.6545,85.9494,10,4.3,mb
2015-05-02T09:41:16.290Z,27.9171,85.369,10,4.2,mb
2015-05-02T05:35:46.930Z,28.3143,84.6576,10,4.9,mb
2015-05-02T03:47:03.740Z,27.7972,85.3532,10,4,mb
2015-05-02T01:03:10.740Z,27.7751,85.9042,10,4,mb
2015-05-02T00:10:49.450Z,27.3802,85.1775,10,4,mb
2015-05-01T22:10:09.980Z,27.6072,85.5759,10,4,mb
2015-05-01T18:47:16.520Z,27.7249,84.6329,10,4.1,mb
2015-05-01T04:39:19.300Z,28.5301,86.2397,10,4,mb
2015-04-30T00:37:10.880Z,27.9057,84.6664,10,4.3,mb
2015-04-29T22:10:52.110Z,28.33,87.2319,10,4.5,mb
2015-04-29T17:16:33.470Z,27.8677,85.7031,10,4.4,mb
2015-04-29T17:16:14.460Z,28.0838,84.676,18.76,4.1,mb
2015-04-29T11:27:45.310Z,27.864,85.4086,10,4.6,mb
2015-04-29T09:39:14.120Z,27.7449,84.564,10,4.2,mb
2015-04-28T21:44:23.980Z,27.9577,85.8817,10,4.1,mb
2015-04-27T23:20:28.520Z,27.9641,85.2821,10,4.2,mb
2015-04-27T21:27:41.790Z,27.841,85.7877,10,4.2,mb
2015-04-27T20:21:55.240Z,31.7602,83.5157,10,4.2,mb
2015-04-27T18:59:57.010Z,28.0066,84.682,21.35,4.8,mb
2015-04-27T15:51:46.110Z,27.6728,85.1212,10,4.3,mb
2015-04-27T14:57:00.080Z,27.8065,85.8855,10,4,mb
2015-04-27T14:42:39.210Z,27.6802,85.6085,10,4.3,mb
2015-04-27T13:17:47.600Z,28.0231,84.5829,19.52,4.3,mb
2015-04-27T12:35:53.930Z,26.8644,88.055,31.71,5.1,mb
2015-04-27T06:00:00.390Z,27.8347,86.1373,10,4,mb
2015-04-27T04:14:44.840Z,27.9352,84.7251,10,4.1,mb
2015-04-27T01:15:51.060Z,27.4565,85.7818,10,4.3,mb
2015-04-27T00:39:16.330Z,27.6794,84.9579,10,4.1,mb
2015-04-26T22:32:34.720Z,27.5298,85.6751,10,4.6,mb
2015-04-26T20:39:20.030Z,27.8804,85.7813,10,4.3,mb
2015-04-26T18:54:49.080Z,27.9888,84.7645,10,4.4,mb
2015-04-26T18:06:31.490Z,27.7579,85.3686,10,4.2,mb
2015-04-26T16:26:06.730Z,27.8297,85.865,14,5,mwb
2015-04-26T14:57:04.380Z,28.1223,84.6464,10,4.3,mb
2015-04-26T14:44:50.510Z,27.686,85.9657,10,4.5,mb
2015-04-26T13:11:15.170Z,27.8112,85.4088,10,4.5,mb
2015-04-26T12:34:41.310Z,27.5683,85.7179,8.42,4,mb
2015-04-26T09:42:03.630Z,27.4422,85.9371,10,4.3,mb
2015-04-26T08:46:17.050Z,27.9232,85.8032,10,4.4,mb
2015-04-26T08:40:55.820Z,27.7307,85.854,10,4.6,mb
2015-04-26T08:22:12.350Z,28.0119,85.8449,10,4.4,mb
2015-04-26T08:10:37.340Z,27.8072,85.781,10,4.3,mb
2015-04-26T07:50:26.020Z,27.7325,86.0078,10,4.2,mb
2015-04-26T07:43:17.480Z,27.0336,85.9863,10,4.3,mb
2015-04-26T07:36:26.570Z,27.7555,85.9822,10,4.7,mb
2015-04-26T07:26:04.190Z,27.7004,85.9136,10,4.9,mb
2015-04-26T07:09:10.670Z,27.7711,86.0173,22.91,6.7,mww
2015-04-26T04:58:40.040Z,27.9966,84.7082,10,4.5,mb
2015-04-26T04:50:29.550Z,28.0281,85.3595,10,4.1,mb
2015-04-26T04:40:16.330Z,28.1724,84.6699,10,4,mb
2015-04-26T03:21:36.160Z,27.469,85.5624,10,4.3,mb
2015-04-26T02:48:39.070Z,28.2272,84.5858,10,4.5,mb
2015-04-26T02:33:26.940Z,27.6257,86.0531,10,4.1,mb
2015-04-26T02:02:07.850Z,27.5936,85.4424,10,4.2,mb
2015-04-25T23:55:46.070Z,27.6098,85.8354,6.57,4.1,mb
2015-04-25T23:41:53.750Z,27.6678,86.0726,15.68,4.5,mb
2015-04-25T23:16:15.450Z,27.7993,84.8715,13.61,5.1,mww
2015-04-25T23:12:52.060Z,27.6038,86.0873,9.21,4,mb
2015-04-25T21:07:20.000Z,27.7657,85.8114,23.88,4.6,mb
2015-04-25T20:32:48.240Z,27.6437,85.9241,10,4.4,mb
2015-04-25T20:07:01.970Z,27.9754,84.5282,10,4.4,mb
2015-04-25T18:58:34.530Z,27.6376,85.3501,14.2,4.2,mb
2015-04-25T17:46:17.590Z,28.2139,86.1072,35.26,4.5,mb
2015-04-25T17:42:50.910Z,28.238,85.829,10,5.1,mwr
2015-04-25T16:27:21.660Z,27.8695,85.6359,10,4.9,mb
2015-04-25T14:10:03.730Z,27.7109,85.8748,10,4.6,mb
2015-04-25T13:36:14.620Z,27.7266,85.9826,10,4.7,mb
2015-04-25T13:30:28.030Z,28.0768,85.0378,10,4.6,mb
2015-04-25T13:29:31.610Z,27.8055,85.7909,10,4.3,mb
2015-04-25T12:44:05.170Z,28.0979,84.5594,10,5.2,mb
2015-04-25T12:39:52.630Z,27.4844,86.0952,10,4,mb
2015-04-25T12:17:54.790Z,27.9261,85.449,10,4.5,mb
2015-04-25T12:12:14.790Z,27.6645,85.8954,10,4.3,mb
2015-04-25T12:01:10.730Z,27.8638,85.9255,10,4.2,mb
2015-04-25T11:41:47.700Z,28.0596,85.0566,10,4.2,mb
2015-04-25T11:23:47.560Z,27.6483,85.4309,10,4.5,mb
2015-04-25T11:18:30.100Z,27.4923,86.0058,10,4.4,mb
2015-04-25T11:15:18.020Z,27.6021,86.0505,10,4,mb
2015-04-25T11:05:01.240Z,27.933,85.5471,10,4.2,mb
2015-04-25T10:53:43.530Z,27.8061,85.8842,10,4.6,mb
2015-04-25T10:52:00.490Z,27.5075,85.6304,10,4,mb
2015-04-25T10:50:45.880Z,28.1447,84.6237,10,4.2,mb
2015-04-25T10:40:35.550Z,27.6033,85.9565,10,4.8,mb
2015-04-25T10:40:13.500Z,27.7704,85.8322,10,4.1,mb
2015-04-25T10:23:17.670Z,27.7999,85.8035,10,4.4,mb
2015-04-25T10:10:32.840Z,28.2838,84.7255,10,4.2,mb
2015-04-25T09:53:32.600Z,27.5326,85.7255,10,4,mb
2015-04-25T09:43:00.840Z,28.0668,84.8842,10,4.4,mb
2015-04-25T09:30:29.690Z,27.9945,85.5209,10,4.9,mb
2015-04-25T09:28:00.080Z,28.0061,85.3104,10,4.4,mb
2015-04-25T09:22:36.900Z,27.7192,85.7503,10,4.7,mb
2015-04-25T09:17:02.310Z,28.3902,87.3173,10,5.7,mb
2015-04-25T09:03:14.960Z,27.8743,85.3426,10,4.8,mb
2015-04-25T09:01:51.540Z,27.8084,85.0718,10,4.4,mb
2015-04-25T08:55:55.960Z,27.5866,85.5058,10,5.3,mb
2015-04-25T08:49:09.080Z,27.7404,84.8893,10,4.4,mb
2015-04-25T08:36:05.260Z,27.7292,85.1727,10,4.2,mb
2015-04-25T08:31:32.430Z,27.6708,85.9539,10,4.6,mb
2015-04-25T08:29:24.560Z,27.9351,84.6218,10,5,mb
2015-04-25T08:22:47.620Z,27.8166,85.5666,10,4.6,mb
2015-04-25T08:20:48.800Z,27.6429,85.16,10,4.9,mb
2015-04-25T08:20:11.160Z,27.8549,85.7931,10,4.7,mb
